,Id,Weekly_Sales
0,1_1_2012-11-02,31664.5715011
1,1_1_2012-11-09,22854.5195887
2,1_1_2012-11-16,21520.9331048
3,1_1_2012-11-23,22137.5101121
4,1_1_2012-11-30,25750.7360684
5,1_1_2012-12-07,31375.573837
6,1_1_2012-12-14,41412.7102596
7,1_1_2012-12-21,43628.9231925
8,1_1_2012-12-28,23418.3821651
9,1_1_2013-01-04,18487.6104203
10,1_1_2013-01-11,18268.0604735
11,1_1_2013-01-18,19100.532303
12,1_1_2013-01-25,19153.8424401
13,1_1_2013-02-01,24124.7327609
14,1_1_2013-02-08,36861.4400978
15,1_1_2013-02-15,44336.1275731
16,1_1_2013-02-22,26646.1014559
17,1_1_2013-03-01,23835.4852987
18,1_1_2013-03-08,24328.2623434
19,1_1_2013-03-15,24157.4788414
20,1_1_2013-03-22,23772.6243551
21,1_1_2013-03-29,27232.8609891
22,1_1_2013-04-05,39475.2522973
23,1_1_2013-04-12,30172.9992679
24,1_1_2013-04-19,20832.5509939
25,1_1_2013-04-26,19539.0318339
26,1_1_2013-05-03,17998.7480312
27,1_1_2013-05-10,17979.9672091
28,1_1_2013-05-17,18137.3718702
29,1_1_2013-05-24,16769.6059057
30,1_1_2013-05-31,16726.8702412
31,1_1_2013-06-07,17352.6548217
32,1_1_2013-06-14,17219.5822601
33,1_1_2013-06-21,16679.9999399
34,1_1_2013-06-28,16307.1820654
35,1_1_2013-07-05,17197.4912734
36,1_1_2013-07-12,16820.7665654
37,1_1_2013-07-19,16562.2863735
38,1_1_2013-07-26,16279.8048313
39,1_2_2012-11-02,47230.0493655
40,1_2_2012-11-09,46156.5340554
41,1_2_2012-11-16,43284.9920448
42,1_2_2012-11-23,43737.3027868
43,1_2_2012-11-30,44872.8333004
44,1_2_2012-12-07,47826.640088
45,1_2_2012-12-14,49492.9270495
46,1_2_2012-12-21,55730.0619548
47,1_2_2012-12-28,43544.6723896
48,1_2_2013-01-04,46944.6686172
49,1_2_2013-01-11,45721.6852001
50,1_2_2013-01-18,43492.7655727
51,1_2_2013-01-25,42771.6773499
52,1_2_2013-02-01,51273.5742869
53,1_2_2013-02-08,50225.3825408
54,1_2_2013-02-15,46236.6006298
55,1_2_2013-02-22,46539.4290884
56,1_2_2013-03-01,50901.7591338
57,1_2_2013-03-08,49173.9783178
58,1_2_2013-03-15,46024.0314381
59,1_2_2013-03-22,45421.1559465
60,1_2_2013-03-29,46020.8349407
61,1_2_2013-04-05,50107.6001191
62,1_2_2013-04-12,45010.7084143
63,1_2_2013-04-19,45250.1243349
64,1_2_2013-04-26,45459.8325198
65,1_2_2013-05-03,49595.6035216
66,1_2_2013-05-10,47531.595314
67,1_2_2013-05-17,45273.7237007
68,1_2_2013-05-24,45499.0301482
69,1_2_2013-05-31,46684.9882546
70,1_2_2013-06-07,48482.6681683
71,1_2_2013-06-14,45328.1955192
72,1_2_2013-06-21,45603.0394636
73,1_2_2013-06-28,45912.5568856
74,1_2_2013-07-05,48706.6553664
75,1_2_2013-07-12,44909.7984673
76,1_2_2013-07-19,45083.644406
77,1_2_2013-07-26,45195.9821367
78,1_3_2012-11-02,9845.89319817
79,1_3_2012-11-09,9885.26294231
80,1_3_2012-11-16,9692.69904736
81,1_3_2012-11-23,9813.1654124
82,1_3_2012-11-30,10176.3578365
83,1_3_2012-12-07,11400.7217776
84,1_3_2012-12-14,11685.8494764
85,1_3_2012-12-21,11656.3804964
86,1_3_2012-12-28,9720.82910926
87,1_3_2013-01-04,16389.1047979
88,1_3_2013-01-11,16056.3714797
89,1_3_2013-01-18,14823.0756246
90,1_3_2013-01-25,14419.3542011
91,1_3_2013-02-01,15107.5851773
92,1_3_2013-02-08,15222.6564033
93,1_3_2013-02-15,13895.0512568
94,1_3_2013-02-22,13815.884356
95,1_3_2013-03-01,14476.7553478
96,1_3_2013-03-08,14684.6878053
97,1_3_2013-03-15,12484.8947953
98,1_3_2013-03-22,11952.9530812
99,1_3_2013-03-29,12578.8509133
100,1_3_2013-04-05,13190.4244562
101,1_3_2013-04-12,12732.0968432
102,1_3_2013-04-19,12139.6776326
103,1_3_2013-04-26,12404.8674982
104,1_3_2013-05-03,13641.1741721
105,1_3_2013-05-10,13327.6522556
106,1_3_2013-05-17,11961.177043
107,1_3_2013-05-24,11839.3959716
108,1_3_2013-05-31,12165.9665136
109,1_3_2013-06-07,11961.7819353
110,1_3_2013-06-14,11662.4595272
111,1_3_2013-06-21,11224.4168613
112,1_3_2013-06-28,11242.2031251
113,1_3_2013-07-05,11960.5947335
114,1_3_2013-07-12,14942.4361933
115,1_3_2013-07-19,19851.8167241
116,1_3_2013-07-26,22763.8678054
117,1_4_2012-11-02,0.0
118,1_4_2012-11-09,0.0
119,1_4_2012-11-16,0.0
120,1_4_2012-11-23,0.0
121,1_4_2012-11-30,0.0
122,1_4_2012-12-07,0.0
123,1_4_2012-12-14,0.0
124,1_4_2012-12-21,0.0
125,1_4_2012-12-28,0.0
126,1_4_2013-01-04,0.0
127,1_4_2013-01-11,0.0
128,1_4_2013-01-18,0.0
129,1_4_2013-01-25,0.0
130,1_4_2013-02-01,0.0
131,1_4_2013-02-08,0.0
132,1_4_2013-02-15,0.0
133,1_4_2013-02-22,0.0
134,1_4_2013-03-01,0.0
135,1_4_2013-03-08,0.0
136,1_4_2013-03-15,0.0
137,1_4_2013-03-22,0.0
138,1_4_2013-03-29,0.0
139,1_4_2013-04-05,0.0
140,1_4_2013-04-12,0.0
141,1_4_2013-04-19,0.0
142,1_4_2013-04-26,0.0
143,1_4_2013-05-03,0.0
144,1_4_2013-05-10,0.0
145,1_4_2013-05-17,0.0
146,1_4_2013-05-24,0.0
147,1_4_2013-05-31,0.0
148,1_4_2013-06-07,0.0
149,1_4_2013-06-14,0.0
150,1_4_2013-06-21,0.0
151,1_4_2013-06-28,0.0
152,1_4_2013-07-05,0.0
153,1_4_2013-07-12,0.0
154,1_4_2013-07-19,0.0
155,1_4_2013-07-26,0.0
156,1_5_2012-11-02,0.0
157,1_5_2012-11-09,0.0
158,1_5_2012-11-16,0.0
159,1_5_2012-11-23,0.0
160,1_5_2012-11-30,0.0
161,1_5_2012-12-07,0.0
162,1_5_2012-12-14,0.0
163,1_5_2012-12-21,0.0
164,1_5_2012-12-28,0.0
165,1_5_2013-01-04,0.0
166,1_5_2013-01-11,0.0
167,1_5_2013-01-18,0.0
168,1_5_2013-01-25,0.0
169,1_5_2013-02-01,0.0
170,1_5_2013-02-08,0.0
171,1_5_2013-02-15,0.0
172,1_5_2013-02-22,0.0
173,1_5_2013-03-01,0.0
174,1_5_2013-03-08,0.0
175,1_5_2013-03-15,0.0
176,1_5_2013-03-22,0.0
177,1_5_2013-03-29,0.0
178,1_5_2013-04-05,0.0
179,1_5_2013-04-12,0.0
180,1_5_2013-04-19,0.0
181,1_5_2013-04-26,0.0
182,1_5_2013-05-03,0.0
183,1_5_2013-05-10,0.0
184,1_5_2013-05-17,0.0
185,1_5_2013-05-24,0.0
186,1_5_2013-05-31,0.0
187,1_5_2013-06-07,0.0
188,1_5_2013-06-14,0.0
189,1_5_2013-06-21,0.0
190,1_5_2013-06-28,0.0
191,1_5_2013-07-05,0.0
192,1_5_2013-07-12,0.0
193,1_5_2013-07-19,0.0
194,1_5_2013-07-26,0.0
195,1_6_2012-11-02,0.0
196,1_6_2012-11-09,0.0
197,1_6_2012-11-16,0.0
198,1_6_2012-11-23,0.0
199,1_6_2012-11-30,0.0
200,1_6_2012-12-07,0.0
201,1_6_2012-12-14,0.0
202,1_6_2012-12-21,0.0
203,1_6_2012-12-28,0.0
204,1_6_2013-01-04,0.0
205,1_6_2013-01-11,0.0
206,1_6_2013-01-18,0.0
207,1_6_2013-01-25,0.0
208,1_6_2013-02-01,0.0
209,1_6_2013-02-08,0.0
210,1_6_2013-02-15,0.0
211,1_6_2013-02-22,0.0
212,1_6_2013-03-01,0.0
213,1_6_2013-03-08,0.0
214,1_6_2013-03-15,0.0
215,1_6_2013-03-22,0.0
216,1_6_2013-03-29,0.0
217,1_6_2013-04-05,0.0
218,1_6_2013-04-12,0.0
219,1_6_2013-04-19,0.0
220,1_6_2013-04-26,0.0
221,1_6_2013-05-03,0.0
222,1_6_2013-05-10,0.0
223,1_6_2013-05-17,0.0
224,1_6_2013-05-24,0.0
225,1_6_2013-05-31,0.0
226,1_6_2013-06-07,0.0
227,1_6_2013-06-14,0.0
228,1_6_2013-06-21,0.0
229,1_6_2013-06-28,0.0
230,1_6_2013-07-05,0.0
231,1_6_2013-07-12,0.0
232,1_6_2013-07-19,0.0
233,1_6_2013-07-26,0.0
234,1_7_2012-11-02,0.0
235,1_7_2012-11-09,0.0
236,1_7_2012-11-16,0.0
237,1_7_2012-11-23,0.0
238,1_7_2012-11-30,0.0
239,1_7_2012-12-07,0.0
240,1_7_2012-12-14,0.0
241,1_7_2012-12-21,0.0
242,1_7_2012-12-28,0.0
243,1_7_2013-01-04,0.0
244,1_7_2013-01-11,0.0
245,1_7_2013-01-18,0.0
246,1_7_2013-01-25,0.0
247,1_7_2013-02-01,0.0
248,1_7_2013-02-08,0.0
249,1_7_2013-02-15,0.0
250,1_7_2013-02-22,0.0
251,1_7_2013-03-01,0.0
252,1_7_2013-03-08,0.0
253,1_7_2013-03-15,0.0
254,1_7_2013-03-22,0.0
255,1_7_2013-03-29,0.0
256,1_7_2013-04-05,0.0
257,1_7_2013-04-12,0.0
258,1_7_2013-04-19,0.0
259,1_7_2013-04-26,0.0
260,1_7_2013-05-03,0.0
261,1_7_2013-05-10,0.0
262,1_7_2013-05-17,0.0
263,1_7_2013-05-24,0.0
264,1_7_2013-05-31,0.0
265,1_7_2013-06-07,0.0
266,1_7_2013-06-14,0.0
267,1_7_2013-06-21,0.0
268,1_7_2013-06-28,0.0
269,1_7_2013-07-05,0.0
270,1_7_2013-07-12,0.0
271,1_7_2013-07-19,0.0
272,1_7_2013-07-26,0.0
273,1_8_2012-11-02,0.0
274,1_8_2012-11-09,0.0
275,1_8_2012-11-16,0.0
276,1_8_2012-11-23,0.0
277,1_8_2012-11-30,0.0
278,1_8_2012-12-07,0.0
279,1_8_2012-12-14,0.0
280,1_8_2012-12-21,0.0
281,1_8_2012-12-28,0.0
282,1_8_2013-01-04,0.0
283,1_8_2013-01-11,0.0
284,1_8_2013-01-18,0.0
285,1_8_2013-01-25,0.0
286,1_8_2013-02-01,0.0
287,1_8_2013-02-08,0.0
288,1_8_2013-02-15,0.0
289,1_8_2013-02-22,0.0
290,1_8_2013-03-01,0.0
291,1_8_2013-03-08,0.0
292,1_8_2013-03-15,0.0
293,1_8_2013-03-22,0.0
294,1_8_2013-03-29,0.0
295,1_8_2013-04-05,0.0
296,1_8_2013-04-12,0.0
297,1_8_2013-04-19,0.0
298,1_8_2013-04-26,0.0
299,1_8_2013-05-03,0.0
300,1_8_2013-05-10,0.0
301,1_8_2013-05-17,0.0
302,1_8_2013-05-24,0.0
303,1_8_2013-05-31,0.0
304,1_8_2013-06-07,0.0
305,1_8_2013-06-14,0.0
306,1_8_2013-06-21,0.0
307,1_8_2013-06-28,0.0
308,1_8_2013-07-05,0.0
309,1_8_2013-07-12,0.0
310,1_8_2013-07-19,0.0
311,1_8_2013-07-26,0.0
312,1_9_2012-11-02,0.0
313,1_9_2012-11-09,0.0
314,1_9_2012-11-16,0.0
315,1_9_2012-11-23,0.0
316,1_9_2012-11-30,0.0
317,1_9_2012-12-07,0.0
318,1_9_2012-12-14,0.0
319,1_9_2012-12-21,0.0
320,1_9_2012-12-28,0.0
321,1_9_2013-01-04,0.0
322,1_9_2013-01-11,0.0
323,1_9_2013-01-18,0.0
324,1_9_2013-01-25,0.0
325,1_9_2013-02-01,0.0
326,1_9_2013-02-08,0.0
327,1_9_2013-02-15,0.0
328,1_9_2013-02-22,0.0
329,1_9_2013-03-01,0.0
330,1_9_2013-03-08,0.0
331,1_9_2013-03-15,0.0
332,1_9_2013-03-22,0.0
333,1_9_2013-03-29,0.0
334,1_9_2013-04-05,0.0
335,1_9_2013-04-12,0.0
336,1_9_2013-04-19,0.0
337,1_9_2013-04-26,0.0
338,1_9_2013-05-03,0.0
339,1_9_2013-05-10,0.0
340,1_9_2013-05-17,0.0
341,1_9_2013-05-24,0.0
342,1_9_2013-05-31,0.0
343,1_9_2013-06-07,0.0
344,1_9_2013-06-14,0.0
345,1_9_2013-06-21,0.0
346,1_9_2013-06-28,0.0
347,1_9_2013-07-05,0.0
348,1_9_2013-07-12,0.0
349,1_9_2013-07-19,0.0
350,1_9_2013-07-26,0.0
351,1_10_2012-11-02,0.0
352,1_10_2012-11-09,0.0
353,1_10_2012-11-16,0.0
354,1_10_2012-11-23,0.0
355,1_10_2012-11-30,0.0
356,1_10_2012-12-07,0.0
357,1_10_2012-12-14,0.0
358,1_10_2012-12-21,0.0
359,1_10_2012-12-28,0.0
360,1_10_2013-01-04,0.0
361,1_10_2013-01-11,0.0
362,1_10_2013-01-18,0.0
363,1_10_2013-01-25,0.0
364,1_10_2013-02-01,0.0
365,1_10_2013-02-08,0.0
366,1_10_2013-02-15,0.0
367,1_10_2013-02-22,0.0
368,1_10_2013-03-01,0.0
369,1_10_2013-03-08,0.0
370,1_10_2013-03-15,0.0
371,1_10_2013-03-22,0.0
372,1_10_2013-03-29,0.0
373,1_10_2013-04-05,0.0
374,1_10_2013-04-12,0.0
375,1_10_2013-04-19,0.0
376,1_10_2013-04-26,0.0
377,1_10_2013-05-03,0.0
378,1_10_2013-05-10,0.0
379,1_10_2013-05-17,0.0
380,1_10_2013-05-24,0.0
381,1_10_2013-05-31,0.0
382,1_10_2013-06-07,0.0
383,1_10_2013-06-14,0.0
384,1_10_2013-06-21,0.0
